instrumen_investasi,jumlah_investor,tahun
pasar_modal,2484354,2019
saham_dan_surat_berharga_lainnya,1104610,2019
reksadana,1774493,2019
surat_berharga_negara,316263,2019
pasar_modal,3680753,2020
saham_dan_surat_berharga_lainnya,1695268,2020
reksadana,3175429,2020
surat_berharga_negara,460372,2020
pasar_modal,7489337,2021
saham_dan_surat_berharga_lainnya,3451513,2021
reksadana,6840234,2021
surat_berharga_negara,611143,2021
pasar_modal,10000628,2022
saham_dan_surat_berharga_lainnya,4323643,2022
reksadana,9305184,2022
surat_berharga_negara,803825,2022
